,Classifier,CV Accuracy,Test F-Score,Training Time,CV Time
0,LR,94.23220973782772,0.9392128042850869,0.004956245422363281,0.03789472579956055
1,KN,93.70786516853933,0.9316530629053448,0.06180906295776367,0.08876156806945801
2,SV,95.5805243445693,0.9530773169482847,0.10870575904846191,0.11366057395935059
3,RF,94.90636704119851,0.9451849936330688,0.13269472122192383,0.3311283588409424
4,MLP,94.9812734082397,0.9472139580897976,28.804198026657104,52.43773174285889
5,XG,95.13108614232209,0.9480403547101914,0.04085183143615723,1.0246694087982178
