apkNum,totalPkts,totalPktSize,totalDnsPkts,totalHttpPkts,totalHttpsPkts,totalTcpPkts,totalUdpPkts,totalPktsIn,totalBytesIn,totalPktsOut,totalBytesOut,PktSizeRatio,medPktsIn,medPktsOut,avgPktsIn,avgPktsOut,avgPktSize,maxOutPktSize,maxInPktSize,ratioNumPkts,minTimeOut,minTimeIn,avgNumpktFlowTCPIn,avgNumpktFlowUDPIn,avgSizepktFlowTCPIn,avgSizepktFlowUDPIn,avgNumpktFlowTCPOut,avgNumpktFlowUDPOut,avgSizepktFlowTCPOut,avgSizepktFlowUDPOut,Result
1-com.ulsterbandsmusiclite.pcap,16931,2044414,6,1915,0,16897,34,8662,1616257,8271,428965,0.27,60.0,52,186.59,51.86,0.01,2852,1500,1.05,0.02,0.00,0.25,0.03,90.47,0.03,0.27,0.03,13.33,0.03,1
1-com.underwaterallphotogallery.aqua.pcap,922,383384,24,0,0,804,118,473,147876,451,236316,1.6,60,125,312.63,523.98,0.0,4306,2888,1.05,0.00,0.02,0.34,0.06,151.27,21.16,0.39,0.01,313.97,0.01,1
1-com.uninstall.tool.funny.pcap,818,383848,28,1,0,719,99,423,112590,397,272066,2.42,52,371,266.17,685.3,0.0,4252,2852,1.07,0.03,0.00,0.55,0.01,165.8,0.01,0.53,0.01,527.98,0.01,1
1-com.unit.converterx.pcap,586,197162,10,0,0,532,54,286,148210,302,49760,0.34,98.0,52.0,518.22,164.77,0.0,7052,1470,0.95,0.00,0.00,0.45,0.02,327.28,0.02,0.51,0.02,82.06,0.02,1
1-com.unmai.channel.pcap,778,337141,16,0,0,667,111,401,134354,379,203595,1.52,60,125,335.05,537.19,0.0,4306,2888,1.06,0.00,0.00,0.37,0.05,192.76,8.75,0.37,0.01,282.3,0.01,1
1-com.uzbilogics.motorbikeracer.pcap,13554,14132686,36,1,0,565,12988,2412,522773,11163,13613170,26.04,64.0,1278,216.74,1219.49,0.0,4252,2892,0.22,0.00,0.00,0.69,0.03,332.55,9.36,0.82,0.0,622.5,0.0,1
1-com.velbrothers.ILoveU.pcap,6914,5184724,25,1,0,6808,105,3198,364590,3728,4820953,13.22,72.0,1452.0,114.01,1293.17,0.0,7052,2948,0.86,0.00,0.01,0.73,0.05,87.87,21.14,0.93,0.01,1272.34,0.01,1
1-com.velbrothers.LiveCricketUpdates.pcap,791,349426,18,1,0,634,157,407,138339,386,211895,1.53,60,149.5,339.9,548.95,0.0,5652,2939,1.05,0.00,0.02,0.43,0.05,146.21,47.85,0.44,0.01,375.37,0.01,1
1-com.vishnu.mantra.pcap,3230,1614571,56,2,0,2566,664,1614,606506,1618,1008873,1.66,60.0,208.0,375.78,623.53,0.0,5792,2888,1.0,0.05,0.00,0.41,0.1,148.24,92.15,0.49,0.0,440.18,0.0,1
1-com.vivchar.RememberMe.pcap,804,352346,21,0,0,667,136,425,128656,386,224899,1.75,60,208.5,302.72,582.64,0.0,4252,2948,1.1,0.03,0.00,0.44,0.02,176.63,1.25,0.4,0.01,351.47,0.01,1
