apkNum,totalPkts,totalPktSize,totalBytesIn,medPktsIn,medPktsOut,avgPktsIn,avgPktSize,maxOutPktSize,ratioNumPkts,minTimeOut,minTimeIn,avgSizepktFlowUDPIn,avgNumpktFlowTCPOut,avgSizepktFlowTCPOut,Result
0-com.empower.radiotimescyprus,900,544354,77471,52.0,1452.0,180.59,0.0,4209,0.91,0.05,0.0,19.6,0.83,981.11,0
1-com.beautytipsx,4,908,868,404.0,404.0,289.33,0.0,404,1.0,8.22,8.22,0.5,0.5,0.5,1
0-com.lb4business.tpsgame,6432,5319860,231803,152.0,1575.0,187.03,0.01,3043,1.66,0.16,0.06,0.02,1.74,2483.54,0
0-com.alodokter.android,180,52971,21992,168.0,241.5,771.6199999999999,0.03,2962,3.22,0.21,0.07,1.08,1.51,562.49,0
0-com.tg.blockyfarmcornprofessional,508,324405,32532,52.0,1500.0,143.31,0.0,911,0.81,0.0,0.0,0.03,0.69,864.61,0
1-emr.calaveras,4822,739738,481810,60.0,52.0,194.59,0.01,2852,1.05,0.03,0.0,1.25,0.35,45.44,1
0-appswallpaper.lwp.cherryblossom,278,190292,40399,1522.0,1559.0,1474.35,0.0,7194,5.9,0.05,0.0,1.05,2.06,1247.29,0
1-com.book.mbpl.twohighlanddogs1,935,377116,135774,60.0,113.0,276.53,0.0,4252,1.09,0.0,0.0,16.69,0.35,275.42,1
0-net.jp.apps.masasi.uta1,212,108625,23098,104.0,2035.0,377.55,0.0,1886,2.5,0.87,0.04,9.6,1.62,1906.72,0
1-astoundapps.nicolescherzingerlivewallpaper,36,3185,1724,52.0,108.0,90.74,0.01,404,1.0,0.0,0.0,0.5,0.24,10.44,1
0-com.threed.battleground.fire.survival.strike.shooting.game,157,55068,17826,167.0,426.0,649.98,0.02,2483,2.57,0.11,0.12,27.03,1.79,482.39,0
0-org.xbet.browser,5752,4205701,293061,104.0,1676.5,257.79,0.0,3663,1.86,0.05,0.0,1.82,1.0,1217.53,0
0-com.webmely.medical.abbreviations,324,194907,27692,52.0,1470.0,196.4,0.0,1470,0.77,0.0,0.0,0.05,0.69,779.75,0
1-com.winter3dlivewallpaper.lwxw,732,340777,127086,60.0,230.5,337.99,0.0,5652,1.05,0.02,0.0,10.4,0.54,450.82,1
1-com.quickphotosharing,1489,654859,308346,63.0,85.5,417.25,0.0,7052,0.97,0.0,0.15,55.22,0.48,275.6,1
0-com.wildanimalslive.angryanacondahuntinganimals,120,33657,10097,116.5,139.0,365.57,0.01,2535,2.04,0.05,0.0,0.58,0.91,352.32,0
0-com.chanceapp.changecolor.harigirl,2,100,60,60.0,40.0,60.0,0.02,60,1.0,0.0,0.0,0.03,0.5,0.5,0
0-com.mozn.droop.provider,790,519162,53847,104.0,1540.0,201.43,0.02,1522,1.84,0.06,0.0,0.14,1.27,974.91,0
0-com.interstellargames.risky.road,279,187769,36401,52.0,1470.0,308.48,0.0,4306,0.73,0.0,0.06,0.05,0.69,771.85,0
1-com.gardenbeautifulphotogallery.flo,5423,846369,557968,60.0,52.0,200.64,0.01,2852,1.05,0.03,0.0,54.95,0.34,39.12,1
1-com.gameguide2.worldcraftfree,794,298964,129371,62.0,90.0,301.56,0.0,2852,1.14,0.05,0.0,109.54,0.28,221.42,1
0-com.itjogot.districtsstory,4102,3124446,204114,185.5,4388.0,569.95,0.0,5451,1.7,0.07,0.0,16.16,3.81,4663.57,0
1-com.hsj.bcae10,959,418558,153257,60.0,149.0,312.13,0.0,4306,1.04,0.0,0.13,1.08,0.45,325.7,1
0-com.sinyee.babybus.food,313,168532,15089,52.0,1470.0,109.34,0.0,1480,0.79,0.0,0.0,0.03,0.64,723.03,0
1-com.boa.pipeorganbuttonfree,874,371953,139449,60.0,142.0,308.52,0.0,7052,1.02,0.0,0.01,0.01,0.46,360.92,1
0-com.seaworld.mobile,1973,1148130,248233,766.5,3419.0,1497.32,0.04,7471,10.7,0.8200000000000001,1.42,202.29,3.77,3637.79,0
0-com.hanna.giraffe,231,179250,31626,52.0,1452.0,351.4,0.0,4306,0.64,0.05,0.0,0.07,1.03,1138.98,0
1-com.poisondartstudios.batman2theme,1526,775890,496850,116.0,62.0,595.03,0.0,5652,1.19,0.0,0.01,149.01,0.56,451.91,1
1-com.velbrothers.LiveCricketUpdates,791,349426,138339,60.0,149.5,339.9,0.0,5652,1.05,0.0,0.02,47.85,0.44,375.37,1
0-com.nextar.felipepigna,2718,1958762,120798,113.0,2778.0,274.98,0.0,1891,1.42,0.12,0.78,1.89,1.07,1120.68,0
0-com.wolyapps.mohammed.scientificcalculator.eproware,223,156990,14733,52.0,1452.0,138.99,0.0,4252,0.91,0.05,0.0,0.08,0.65,808.98,0
1-com.ilyesoft.ganalyticspw,876,387199,143065,60.0,211.5,313.74,0.0,5652,1.09,0.04,0.0,14.87,0.41,330.39,1
0-com.kck.pancake.maker,49,11402,7171,61.0,67.5,286.84,0.0,1278,1.04,0.0,0.02,65.64,0.2,9.15,0
1-com.tsteffen.makemoney,821,496028,139394,251.5,1538.0,440.1,0.01,1765,2.3200000000000003,1.91,1.86,128.99,0.5900000000000001,231.7,1
0-com.sloy.sevibus,516,208844,127503,96.0,79.0,468.76,0.0,1470,1.11,0.01,0.0,171.39,0.51,376.6,0
0-com.lexulous.Lexulous,2336,1558372,159289,114.0,2730.0,331.31,0.0,4320,1.5299999999999998,0.30000000000000004,0.04,8.17,1.2999999999999998,1696.51,0
0-com.companyname.KillTeam,30,3151,1699,52.0,94.5,94.39,0.01,504,1.5,0.16,0.0,45.22,0.8,89.8,0
0-com.kokadev.natikism,246,179106,32333,52.0,1470.0,333.33,0.0,4306,0.65,0.05,0.0,0.08,1.05,1141.32,0
1-com.blluf.hall.clock2,528,338780,85226,52.0,1452.0,318.01,0.0,1452,0.9,0.06,0.0,0.03,0.24,204.09,1
1-com.autoimmagini.renaultscenic,857,381169,144063,60.0,149.0,335.81,0.0,4306,1.0,0.0,0.0,12.48,0.38,310.03,1
0-com.gbs.firefighter.rescue.Robot.Transform.fireTruck.mission,5190,4440872,174686,116.0,1540.0,141.11,0.02,5735,1.5,0.1,0.0,0.06,1.76,1504.29,0
0-com.shiva.hanumanchalisa,266,177620,19826,108.0,1845.0,370.59,0.0,3987,1.49,0.02,0.64,1.06,1.64,1506.51,0
0-com.lagerlife.trek,2,104,52,52.0,52.0,52.0,0.02,52,1.0,0.0,0.04,1.72,0.5,0.5,0
0-com.applicationformuslim.umarii,905,516647,74279,104.0,1627.0,402.85,0.0,7104,1.8,0.0,0.71,9.25,1.31,1225.58,0
0-com.social.messenger.freechat.max.messenger,15979,11375978,5822112,208.0,52.0,841.59,0.0,5925,0.76,0.0,0.0,7.73,0.48,283.26,0
1-com.dianapentywallpapers,972,424959,170363,61.0,103.0,337.35,0.0,4252,1.05,0.01,0.0,54.89,0.39,311.91,1
1-com.book.mbpl.thetamingofanotter1,107,16860,6747,52.0,52.0,118.37,0.01,1452,1.1,0.0,0.05,0.25,0.33,138.57,1
0-com.ktcccp.arabicrecipesfree,1003,584560,80866,104.0,2114.0,443.12,0.0,8730,1.77,0.05,0.07,7.94,6.19,7512.01,0
1-com.artstudio.h2d.manga,1151,403531,176461,60.0,60.0,298.58,0.0,5652,1.03,0.0,0.44,59.29,0.39,230.99,1
0-com.Ideasformakingwallshelves.saptawanapps,196,162402,19525,52.0,1470.0,256.91,0.0,2888,0.63,0.0,0.0,0.07,1.1,1336.11,0
1-com.themesfordroid.cutedoggosmspro,1056,455430,171903,60.0,149.0,310.86,0.0,5652,1.08,0.0,0.14,40.74,0.45,367.56,1
0-com.cilexigames.tractor.concrete.excavator.simulator3d,213,156239,13580,104.0,1510.0,230.91,0.02,1535,1.48,0.05,0.0,0.14,1.44,929.87,0
0-com.oneapps.easter.photo.frames,315,203629,32193,52.0,1432.0,238.47,0.0,2852,0.75,0.0,0.0,0.04,0.57,645.61,0
