apkNum,totalPkts,totalPktSize,totalDnsPkts,totalHttpPkts,totalHttpsPkts,totalTcpPkts,totalUdpPkts,totalPktsIn,totalBytesIn,totalPktsOut,totalBytesOut,PktSizeRatio,medPktsIn,medPktsOut,avgPktsIn,avgPktsOut,avgPktSize,maxOutPktSize,maxInPktSize,ratioNumPkts,minTimeOut,minTimeIn,avgNumpktFlowTCPIn,avgNumpktFlowUDPIn,avgSizepktFlowTCPIn,avgSizepktFlowUDPIn,avgNumpktFlowTCPOut,avgNumpktFlowUDPOut,avgSizepktFlowTCPOut,avgSizepktFlowUDPOut,Result
0-com.begunity.thumbofwars.pcap,91,40128,4,0,0,39,84,47,24034,46,16196,0.67,94,80,511.36,352.09,0,1470,1470,1.02,0.05,0.05,0.8,0.02,647.67,0.02,0.93,0.02,413.27,0.02,0
0-com.begunity.thumbofwars.pcap,16,966,0,0,0,16,84,8,416,7,474,1.14,52,52,52,67.71,0.02,52,125,1.14,0.04,0,0.25,0.02,8.75,0.02,0.17,0.02,3.42,0.02,0
0-com.begunity.thumbofwars.pcap,8,489,0,0,0,8,84,4,208,3,229,1.1,52,52,52,76.33,0.02,52,125,1.33,0.63,0.04,0.14,0.02,0.14,0.02,0.14,0.02,0.14,0.02,0
0-com.bestnametattooslettering.pitlord.pcap,312,198923,4,0,0,296,16,150,24945,162,173978,6.97,52,1470,166.3,1073.94,0,2888,1470,0.93,0,0,0.62,0.06,73.53,0.06,0.62,0.06,774.11,0.06,0
0-com.bestnametattooslettering.pitlord.pcap,8,416,0,0,0,8,16,3,180,4,160,0.89,52,40,60,40,0.02,76,40,0.75,0.05,0,0.5,0.06,13.25,0.06,0.75,0.06,20.25,0.06,0
0-com.besttopfreegames.modern.counter.kill.shot.pcap,555,286065,12,0,0,530,25,263,84678,292,201387,2.38,52,322,321.97,689.68,0,5652,2888,0.9,0,0,0.37,0.04,133.67,0.04,0.48,0.04,446.34,0.04,0
0-com.BestWallDecorationIdeas.Esmut.pcap,384,244512,8,0,0,363,21,166,41208,218,203304,4.93,52,1470,248.24,932.59,0,5724,2888,0.76,0,0,0.27,0.05,108,0.05,0.47,0.05,468.3,0.05,0
0-com.BestWoodenPalletProjects.Auf.pcap,312,202808,6,0,0,292,20,136,26438,176,176370,6.67,52,1470,194.4,1002.1,0,2888,1470,0.77,0,0,0.47,0.11,105.08,3.68,0.71,0.05,863.26,0.05,0
0-com.bh.superflashcard.oat.android.pcap,27,3559,6,0,0,20,6,17,2114,10,1445,0.68,60,87.5,124.35,144.5,0.01,594,639,1.7,0.05,0,0.46,0.17,65.62,0.17,0.23,0.17,65.69,0.17,0
0-com.birthday.photo.collage.frame.status.cake.card.maker.editor.wishes.app.pcap,2695,2002312,22,29,0,2620,75,1216,124800,1479,1877512,15.04,52,1500,102.63,1269.45,0,2888,5844,0.82,0,0,0.55,0.01,54.14,0.01,0.84,0.01,1176.73,0.01,0
